day,date,phase,tests.performed.cum,tests.performed,tests.positive.cum,tests.positive,state.in_care,state.in_hospital,state.needs_o2,state.icu,state.critical,state.deaths.cum,region.lj.cum,region.nm.cum,region.ce.cum,region.mb.cum,region.kr.cum,region.sg.cum,region.po.cum,region.ms.cum,region.kp.cum,region.ng.cum,region.kk.cum,region.foreign.cum,region.unknown.cum,age.0_15.cum,age.16_29.cum,age.30-49.cum,age.50-59.cum,age.60+.cum,age.female.0_15.cum,age.female.16_29.cum,age.female.30-49.cum,age.female.50-59.cum,age.female.60+.cum,age.male.0_15.cum,age.male.16_29.cum,age.male.30-49.cum,age.male.50-59.cum,age.male.60+.cum,source.ita.cum,source.aut.cum,source.esp.cum,source.slo.cum,facility.ukc-lj.cum,facility.ukc-mb.cum,facility.zd-metlika.cum,facility.b-ms.cum,facility.b-ng.cum,facility.zd-luc.cum,facility.zd-mb.cum
1,2020-03-04,F1,352,63,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
2,2020-03-05,F1,433,81,3,2,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,
3,2020-03-06,F1,498,65,7,4,,,,,,,5,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,7,,,,,1,1,,,,
4,2020-03-07,F1,785,287,12,5,,,,,,,7,2,,1,,,,2,,,,,,,,,,,,,,,,,,,,,10,1,1,,,2,1,,,,
5,2020-03-08,F1,981,196,16,4,,,,,,,7,5,,1,,,,2,1,,,,,,,,,,,,,,,,,,,,11,1,1,3,,2,4,,,,
6,2020-03-09,F1,1.227,246,23,7,,,,,,,11,10,,1,,,,2,1,,,,,,,,,,,,,,,,,,,,12,1,1,9,1,2,4,,,,
7,2020-03-10,F1,1.643,416,31,8,,,,,,,15,10,1,1,,,,3,1,,,,,,,,,,,,,,,,,,,,12,1,1,9,3,2,4,2,,,
8,2020-03-11,F1,2.270,627,57,26,,18,,1,,,27,12,1,1,,,2,3,1,,,,10,,,,,,,,,,,,,,,,12,1,1,19,7,2,4,2,,,
9,2020-03-12,F1,3.058,788,89,32,,15,,2,1,,44,20,3,7,1,,2,3,1,1,,,7,4,23,26,22,21,,,,,,,,,,,19,1,1,61,7,2,4,2,1,,
10,2020-03-13,F1,4.346,1.288,141,52,,16,1,3,3,,58,30,16,9,1,,2,4,3,2,1,1,14,10,34,43,30,24,5,17,21,17,9,5,17,22,13,15,,,,,7,2,4,2,1,,
11,2020-03-14,F2,5.369,1.023,181,40,,27,,3,2,1,73,42,25,13,7,1,3,5,4,3,1,2,2,14,39,56,37,34,7,19,26,21,14,7,20,30,16,20,,,,,7,2,4,2,1,1,
12,2020-03-15,F2,6.156,787,219,38,,30,,3,2,1,86,46,31,18,10,1,5,7,5,3,1,2,4,17,45,73,41,40,9,23,35,24,16,8,22,38,17,24,,,,,7,2,4,2,1,1,
13,2020-03-16,F2,6.712,556,253,34,130,29,1,4,1,1,94,46,38,21,15,3,10,7,8,3,1,3,4,18,54,88,47,41,9,25,44,26,16,9,29,44,21,25,,,,,7,2,4,2,1,1,1
14,2020-03-17,F2,7.587,875,275,22,,35,1,5,,1,102,48,38,25,17,10,10,7,8,3,1,6,,19,60,96,56,44,9,27,47,30,17,10,33,49,26,27,,,,,,,,,,,
15,2020-03-18,F2,8.730,1.143,286,11,108,42,1,6,,1,103,51,40,28,18,10,11,7,8,4,1,5,,20,63,99,59,45,9,28,49,33,18,11,35,50,26,27,,,,,,,,,,,
16,2020-03-19,F2,9.860,1.130,319,33,93,46,,7,1,1,107,55,50,29,20,13,12,10,8,4,1,6,2,21,68,106,64,58,9,32,53,36,27,12,36,53,28,31,,,,,,,,,,,
17,2020-03-20,F3,10.980,1.120,341,22,,45,1,8,2,1,114,56,55,31,23,14,12,11,11,5,2,5,,21,71,113,69,67,9,33,57,36,31,12,38,56,33,36,,,,,,,,,,,
